kind,stage,severity,seed,condition,accuracy,n
ablation,IT,0.08,3,low_contrast,0.985714,70
ablation,IT,0.08,3,noise,0.942857,70
ablation,IT,0.08,3,crowded,0.714286,70
ablation,IT,0.08,3,rotated,0.928571,70
ablation,IT,0.08,3,sheared,0.957143,70
ablation,V1,0.08,4,canonical,1.000000,70
ablation,V1,0.08,4,fragmented,0.528571,70
ablation,V1,0.08,4,low_contrast,0.771429,70
ablation,V1,0.08,4,noise,0.842857,70
ablation,V1,0.08,4,crowded,0.642857,70
ablation,V1,0.08,4,rotated,0.657143,70
ablation,V1,0.08,4,sheared,0.714286,70
ablation,V2,0.08,4,canonical,1.000000,70
ablation,V2,0.08,4,fragmented,0.571429,70
ablation,V2,0.08,4,low_contrast,1.000000,70
ablation,V2,0.08,4,noise,0.785714,70
ablation,V2,0.08,4,crowded,0.714286,70
ablation,V2,0.08,4,rotated,0.957143,70
ablation,V2,0.08,4,sheared,0.942857,70
ablation,V4,0.08,4,canonical,1.000000,70
ablation,V4,0.08,4,fragmented,0.471429,70
ablation,V4,0.08,4,low_contrast,0.985714,70
ablation,V4,0.08,4,noise,0.871429,70
ablation,V4,0.08,4,crowded,0.557143,70
ablation,V4,0.08,4,rotated,0.900000,70
ablation,V4,0.08,4,sheared,0.857143,70
ablation,IT,0.08,4,canonical,1.000000,70
ablation,IT,0.08,4,fragmented,0.642857,70
ablation,IT,0.08,4,low_contrast,0.985714,70
ablation,IT,0.08,4,noise,0.942857,70
ablation,IT,0.08,4,crowded,0.714286,70
ablation,IT,0.08,4,rotated,0.957143,70
ablation,IT,0.08,4,sheared,0.971429,70
ablation,V1,0.08,5,canonical,0.928571,70
ablation,V1,0.08,5,fragmented,0.528571,70
ablation,V1,0.08,5,low_contrast,0.400000,70
ablation,V1,0.08,5,noise,0.928571,70
ablation,V1,0.08,5,crowded,0.485714,70
ablation,V1,0.08,5,rotated,0.700000,70
ablation,V1,0.08,5,sheared,0.757143,70
ablation,V2,0.08,5,canonical,0.814286,70
ablation,V2,0.08,5,fragmented,0.385714,70
ablation,V2,0.08,5,low_contrast,0.914286,70
ablation,V2,0.08,5,noise,0.571429,70
ablation,V2,0.08,5,crowded,0.471429,70
ablation,V2,0.08,5,rotated,0.528571,70
ablation,V2,0.08,5,sheared,0.642857,70
ablation,V4,0.08,5,canonical,0.971429,70
ablation,V4,0.08,5,fragmented,0.500000,70
ablation,V4,0.08,5,low_contrast,0.985714,70
ablation,V4,0.08,5,noise,0.800000,70
ablation,V4,0.08,5,crowded,0.600000,70
ablation,V4,0.08,5,rotated,0.885714,70
ablation,V4,0.08,5,sheared,0.842857,70
ablation,IT,0.08,5,canonical,1.000000,70
ablation,IT,0.08,5,fragmented,0.628571,70
ablation,IT,0.08,5,low_contrast,1.000000,70
ablation,IT,0.08,5,noise,0.971429,70
ablation,IT,0.08,5,crowded,0.771429,70
ablation,IT,0.08,5,rotated,0.942857,70
ablation,IT,0.08,5,sheared,0.985714,70
ablation,V1,0.16,0,canonical,0.485714,70
ablation,V1,0.16,0,fragmented,0.228571,70
ablation,V1,0.16,0,low_contrast,0.428571,70
ablation,V1,0.16,0,noise,0.971429,70
ablation,V1,0.16,0,crowded,0.228571,70
ablation,V1,0.16,0,rotated,0.414286,70
ablation,V1,0.16,0,sheared,0.500000,70
ablation,V2,0.16,0,canonical,0.957143,70
ablation,V2,0.16,0,fragmented,0.557143,70
ablation,V2,0.16,0,low_contrast,0.742857,70
ablation,V2,0.16,0,noise,0.757143,70
ablation,V2,0.16,0,crowded,0.571429,70
ablation,V2,0.16,0,rotated,0.700000,70
ablation,V2,0.16,0,sheared,0.771429,70
ablation,V4,0.16,0,canonical,0.985714,70
ablation,V4,0.16,0,fragmented,0.542857,70
ablation,V4,0.16,0,low_contrast,0.900000,70
ablation,V4,0.16,0,noise,0.828571,70
ablation,V4,0.16,0,crowded,0.428571,70
ablation,V4,0.16,0,rotated,0.842857,70
ablation,V4,0.16,0,sheared,0.842857,70
ablation,IT,0.16,0,canonical,1.000000,70
ablation,IT,0.16,0,fragmented,0.614286,70
ablation,IT,0.16,0,low_contrast,0.957143,70
ablation,IT,0.16,0,noise,0.971429,70
ablation,IT,0.16,0,crowded,0.614286,70
ablation,IT,0.16,0,rotated,0.842857,70
ablation,IT,0.16,0,sheared,0.800000,70
ablation,V1,0.16,1,canonical,0.985714,70
ablation,V1,0.16,1,fragmented,0.514286,70
ablation,V1,0.16,1,low_contrast,0.757143,70
ablation,V1,0.16,1,noise,0.900000,70
ablation,V1,0.16,1,crowded,0.428571,70
ablation,V1,0.16,1,rotated,0.771429,70
ablation,V1,0.16,1,sheared,0.785714,70
