kind,stage,severity,seed,condition,accuracy,n
ablation,V2,0.2,1,unusual_view,0.560000,100
ablation,V4,0.2,1,canonical,0.390000,100
ablation,V4,0.2,1,fragmented,0.290000,100
ablation,V4,0.2,1,low_contrast,0.180000,100
ablation,V4,0.2,1,noise,0.520000,100
ablation,V4,0.2,1,crowded,0.270000,100
ablation,V4,0.2,1,unusual_view,0.320000,100
ablation,IT,0.2,1,canonical,0.980000,100
ablation,IT,0.2,1,fragmented,0.530000,100
ablation,IT,0.2,1,low_contrast,0.950000,100
ablation,IT,0.2,1,noise,0.900000,100
ablation,IT,0.2,1,crowded,0.630000,100
ablation,IT,0.2,1,unusual_view,0.740000,100
ablation,V1,0.2,2,canonical,0.700000,100
ablation,V1,0.2,2,fragmented,0.350000,100
ablation,V1,0.2,2,low_contrast,0.410000,100
ablation,V1,0.2,2,noise,0.520000,100
ablation,V1,0.2,2,crowded,0.370000,100
ablation,V1,0.2,2,unusual_view,0.620000,100
ablation,V2,0.2,2,canonical,0.980000,100
ablation,V2,0.2,2,fragmented,0.490000,100
ablation,V2,0.2,2,low_contrast,0.980000,100
ablation,V2,0.2,2,noise,0.740000,100
ablation,V2,0.2,2,crowded,0.350000,100
ablation,V2,0.2,2,unusual_view,0.760000,100
ablation,V4,0.2,2,canonical,0.850000,100
ablation,V4,0.2,2,fragmented,0.230000,100
ablation,V4,0.2,2,low_contrast,0.720000,100
ablation,V4,0.2,2,noise,0.770000,100
ablation,V4,0.2,2,crowded,0.410000,100
ablation,V4,0.2,2,unusual_view,0.650000,100
ablation,IT,0.2,2,canonical,0.930000,100
ablation,IT,0.2,2,fragmented,0.510000,100
ablation,IT,0.2,2,low_contrast,0.890000,100
ablation,IT,0.2,2,noise,0.970000,100
ablation,IT,0.2,2,crowded,0.530000,100
ablation,IT,0.2,2,unusual_view,0.800000,100
ablation,V1,0.3,0,canonical,0.600000,100
ablation,V1,0.3,0,fragmented,0.280000,100
ablation,V1,0.3,0,low_contrast,0.530000,100
ablation,V1,0.3,0,noise,0.120000,100
ablation,V1,0.3,0,crowded,0.330000,100
ablation,V1,0.3,0,unusual_view,0.490000,100
ablation,V2,0.3,0,canonical,0.950000,100
ablation,V2,0.3,0,fragmented,0.380000,100
ablation,V2,0.3,0,low_contrast,0.800000,100
ablation,V2,0.3,0,noise,0.320000,100
ablation,V2,0.3,0,crowded,0.530000,100
ablation,V2,0.3,0,unusual_view,0.690000,100
ablation,V4,0.3,0,canonical,0.440000,100
ablation,V4,0.3,0,fragmented,0.240000,100
ablation,V4,0.3,0,low_contrast,0.190000,100
ablation,V4,0.3,0,noise,0.570000,100
ablation,V4,0.3,0,crowded,0.340000,100
ablation,V4,0.3,0,unusual_view,0.300000,100
ablation,IT,0.3,0,canonical,0.870000,100
ablation,IT,0.3,0,fragmented,0.540000,100
ablation,IT,0.3,0,low_contrast,0.740000,100
ablation,IT,0.3,0,noise,0.870000,100
ablation,IT,0.3,0,crowded,0.560000,100
ablation,IT,0.3,0,unusual_view,0.770000,100
ablation,V1,0.3,1,canonical,0.770000,100
ablation,V1,0.3,1,fragmented,0.330000,100
ablation,V1,0.3,1,low_contrast,0.280000,100
ablation,V1,0.3,1,noise,0.220000,100
ablation,V1,0.3,1,crowded,0.250000,100
ablation,V1,0.3,1,unusual_view,0.480000,100
ablation,V2,0.3,1,canonical,0.830000,100
ablation,V2,0.3,1,fragmented,0.540000,100
ablation,V2,0.3,1,low_contrast,0.360000,100
ablation,V2,0.3,1,noise,0.540000,100
ablation,V2,0.3,1,crowded,0.410000,100
ablation,V2,0.3,1,unusual_view,0.660000,100
ablation,V4,0.3,1,canonical,0.530000,100
ablation,V4,0.3,1,fragmented,0.220000,100
ablation,V4,0.3,1,low_contrast,0.620000,100
ablation,V4,0.3,1,noise,0.330000,100
ablation,V4,0.3,1,crowded,0.200000,100
ablation,V4,0.3,1,unusual_view,0.540000,100
ablation,IT,0.3,1,canonical,0.850000,100
ablation,IT,0.3,1,fragmented,0.480000,100
ablation,IT,0.3,1,low_contrast,0.860000,100
ablation,IT,0.3,1,noise,0.850000,100
ablation,IT,0.3,1,crowded,0.490000,100
ablation,IT,0.3,1,unusual_view,0.690000,100
ablation,V1,0.3,2,canonical,0.730000,100
ablation,V1,0.3,2,fragmented,0.260000,100
ablation,V1,0.3,2,low_contrast,0.460000,100
ablation,V1,0.3,2,noise,0.660000,100
