kind,severity,seed,stage,cka
gain,0.5,1,V1,0.998163
gain,0.5,1,V2,0.991819
gain,0.5,1,V4,0.961268
gain,0.5,1,IT,0.656126
gain,0.5,2,V1,0.989518
gain,0.5,2,V2,0.863068
gain,0.5,2,V4,0.875088
gain,0.5,2,IT,0.373267
gain,0.7,0,V1,0.932039
gain,0.7,0,V2,0.748715
gain,0.7,0,V4,0.788592
gain,0.7,0,IT,0.364527
gain,0.7,1,V1,0.994979
gain,0.7,1,V2,0.974424
gain,0.7,1,V4,0.932866
gain,0.7,1,IT,0.539350
gain,0.7,2,V1,0.983198
gain,0.7,2,V2,0.863425
gain,0.7,2,V4,0.808819
gain,0.7,2,IT,0.455222
