kind,stage,severity,seed,condition,accuracy,n
rec,V2,0.08,1,canonical,0.960000,100
rec,V2,0.08,1,fragmented,0.610000,100
rec,V2,0.08,1,low_contrast,0.930000,100
rec,V2,0.08,1,noise,0.800000,100
rec,V2,0.08,1,crowded,0.470000,100
rec,V2,0.08,1,rotated,0.820000,100
rec,V2,0.08,1,sheared,0.820000,100
rec,V2,0.08,2,canonical,0.920000,100
rec,V2,0.08,2,fragmented,0.610000,100
rec,V2,0.08,2,low_contrast,0.940000,100
rec,V2,0.08,2,noise,0.930000,100
rec,V2,0.08,2,crowded,0.470000,100
rec,V2,0.08,2,rotated,0.800000,100
rec,V2,0.08,2,sheared,0.830000,100
rec,V2,0.18,0,canonical,0.940000,100
rec,V2,0.18,0,fragmented,0.620000,100
rec,V2,0.18,0,low_contrast,0.730000,100
rec,V2,0.18,0,noise,0.550000,100
rec,V2,0.18,0,crowded,0.490000,100
rec,V2,0.18,0,rotated,0.810000,100
rec,V2,0.18,0,sheared,0.640000,100
rec,V2,0.18,1,canonical,0.850000,100
rec,V2,0.18,1,fragmented,0.510000,100
rec,V2,0.18,1,low_contrast,0.890000,100
rec,V2,0.18,1,noise,0.780000,100
rec,V2,0.18,1,crowded,0.470000,100
rec,V2,0.18,1,rotated,0.780000,100
rec,V2,0.18,1,sheared,0.710000,100
rec,V2,0.18,2,canonical,0.900000,100
rec,V2,0.18,2,fragmented,0.560000,100
rec,V2,0.18,2,low_contrast,0.860000,100
rec,V2,0.18,2,noise,0.830000,100
rec,V2,0.18,2,crowded,0.390000,100
rec,V2,0.18,2,rotated,0.700000,100
rec,V2,0.18,2,sheared,0.670000,100
rec,V2,0.3,0,canonical,0.830000,100
rec,V2,0.3,0,fragmented,0.400000,100
rec,V2,0.3,0,low_contrast,0.560000,100
rec,V2,0.3,0,noise,0.280000,100
rec,V2,0.3,0,crowded,0.290000,100
rec,V2,0.3,0,rotated,0.720000,100
rec,V2,0.3,0,sheared,0.540000,100
rec,V2,0.3,1,canonical,0.730000,100
rec,V2,0.3,1,fragmented,0.280000,100
rec,V2,0.3,1,low_contrast,0.680000,100
rec,V2,0.3,1,noise,0.340000,100
rec,V2,0.3,1,crowded,0.270000,100
rec,V2,0.3,1,rotated,0.530000,100
rec,V2,0.3,1,sheared,0.550000,100
rec,V2,0.3,2,canonical,0.860000,100
rec,V2,0.3,2,fragmented,0.450000,100
rec,V2,0.3,2,low_contrast,0.640000,100
rec,V2,0.3,2,noise,0.680000,100
rec,V2,0.3,2,crowded,0.380000,100
rec,V2,0.3,2,rotated,0.680000,100
rec,V2,0.3,2,sheared,0.590000,100
rec,V2,0.45,0,canonical,0.760000,100
rec,V2,0.45,0,fragmented,0.350000,100
rec,V2,0.45,0,low_contrast,0.620000,100
rec,V2,0.45,0,noise,0.160000,100
rec,V2,0.45,0,crowded,0.170000,100
rec,V2,0.45,0,rotated,0.550000,100
rec,V2,0.45,0,sheared,0.430000,100
rec,V2,0.45,1,canonical,0.660000,100
rec,V2,0.45,1,fragmented,0.240000,100
rec,V2,0.45,1,low_contrast,0.290000,100
rec,V2,0.45,1,noise,0.440000,100
rec,V2,0.45,1,crowded,0.150000,100
