stage,seed,matched_severity,canonical,fragmented,low_contrast,noise,crowded,rotated,sheared,degradation,transformation,dissociation
V1,0,0.1237208726879662,0.75,0.5130813193762023,0.6242156565110641,0.9590161676969667,0.3136607361318007,0.5675752651107678,0.532070890027635,0.6024934699290085,0.5498230775692015,-0.05267039235980708
V1,1,0.22323523053642572,0.75,0.5036768153648985,0.5394491623414278,0.3945278672955824,0.35044340298143717,0.4975889729086951,0.5396113990228908,0.44702431199583653,0.5186001859657929,0.0715758739699564
V1,2,0.1850001381579311,0.75,0.48124969662807154,0.43650769736781514,0.6680322221491038,0.3301887907276821,0.5491792488936423,0.6209676674170446,0.4789946017181682,0.5850734581553434,0.10607885643717518
V1,3,0.27499960000000007,0.75,0.4749998104168088,0.13095222222222216,0.1463702734474064,0.18239002847986882,0.5345433787950594,0.4207951443806917,0.23367808364157655,0.4776692615878756,0.24399117794629904
V1,4,0.13727267520665892,0.75,0.48153411870374735,0.5073960755278101,0.6529431817930151,0.3117500973067007,0.39288395035628726,0.4972515100435416,0.4884058683328183,0.4450677301999144,-0.04333813813290388
V1,5,0.1547824975423881,0.75,0.4539854799264167,0.29623861793781087,0.9508187127121086,0.3330598834795254,0.4586598238587398,0.6062411896783284,0.5085256735139654,0.5324505067685341,0.023924833254568734
V2,0,0.4419117011245301,0.75,0.4351103468936652,0.11437903787002227,0.1528449665228954,0.15094308472771983,0.434908260357528,0.45161304890743514,0.21331935900357568,0.44326065463248154,0.22994129562890586
V2,1,0.42374997374997375,0.7500000000000001,0.32229145557310557,0.4660057305557306,0.32342886176990854,0.3187108434822539,0.40969922869997355,0.3802421426857757,0.35760922284524965,0.39497068569287463,0.03736146284762498
V2,2,0.3002501102501102,0.7500000000000001,0.6062485453135911,0.5228173402773405,0.28749931004159407,0.40648594535574945,0.694876551905065,0.7068547917269967,0.45576278524706876,0.7008656718160309,0.24510288656896212
V2,3,0.45156274609313474,0.75,0.3570303709012501,0.19791648437545586,0.29303247883648587,0.18867902100395828,0.39190514409519367,0.32207669285786406,0.2591645887792875,0.35699091847652886,0.09782632969724137
V2,4,0.3422500122500123,0.75,0.4324998643750403,0.5842257895832895,0.2893436900768537,0.2886789665228481,0.5026639849603051,0.34637142181338165,0.39868707763950784,0.42451770338684336,0.025830625747335523
V2,5,0.41704533884283496,0.75,0.46562555134969325,0.43614742500799003,0.37779491569934487,0.391295093864165,0.45808475371239077,0.5738640912424425,0.4177157464802983,0.5159744224774166,0.09825867599711835
V4,0,0.22627917009205825,0.75,0.4601740097239169,0.7416018442398705,0.5752944024096878,0.40895098853584866,0.5725305395176166,0.7397789007971145,0.546505311227331,0.6561547201573655,0.1096494089300345
V4,1,0.21322587929259174,0.75,0.46532186393673214,0.42050667273585796,0.48360620055243414,0.3190810021231245,0.6110519096541563,0.6142040100196635,0.4221289348370372,0.61262795983691,0.1904990249998728
V4,2,0.21108697967866913,0.75,0.5095110460329262,0.6402691839950709,0.5388449335593082,0.3191137399466629,0.5381321710416674,0.45739858076033163,0.5019347258834921,0.49776537590099956,-0.004169349982492521
V4,3,0.2674117959031069,0.75,0.40646995538976627,0.552941399307906,0.5443581201099633,0.3127079695289047,0.44768546716010027,0.5015658198709825,0.4541193610841351,0.4746256435155414,0.020506282431406286
V4,4,0.2395453822314707,0.75,0.41136369819244745,0.6417751308539215,0.4377797183112272,0.37735804200791656,0.6695229406080999,0.6066714990202664,0.4670691473413782,0.6380972198141832,0.171028072472805
V4,5,0.2055881444636144,0.75,0.46801412649880364,0.6517276172626507,0.43611370888312606,0.485293853725234,0.5330280745453879,0.47604432353221576,0.5102873265924536,0.5045361990388019,-0.005751127553651703
IT,0,0.4410715,0.75,0.5360110994804252,0.7180651946333334,0.6955498667476067,0.4183509924941523,0.5823572692152775,0.6843318778183478,0.5919942883388795,0.6333445735168126,0.041350285177933155
IT,1,0.3157812763183512,0.75,0.4904289183721279,0.6100571710882104,0.7252811251579999,0.46477045102910963,0.5874097984203843,0.5911669893262388,0.572634416411862,0.5892883938733116,0.016653977461449587
IT,2,0.28916653055510183,0.75,0.6979156883693564,0.68915362654357,0.7448772600335994,0.2641508935564352,0.5491804744478769,0.5907261213369321,0.5990243671257403,0.5699532978924045,-0.0290710692333358
IT,3,0.354062413867026,0.75,0.5582028115717603,0.6068949772134989,0.7525614558993267,0.3132372395981092,0.5563519760005823,0.5897179113766058,0.5577241210706738,0.573034943688594,0.015310822617920161
IT,4,0.3542309142014065,0.75,0.650000262499803,0.6654454651537071,0.8297596389672108,0.35703901603302796,0.5233288295871912,0.584056617350735,0.6255610956634373,0.553692723468963,-0.07186837219447428
IT,5,0.3549998,0.75,0.63124902656323,0.7142855555555556,0.7412176155601891,0.45282991456039345,0.6065571607095932,0.5835258909986747,0.6348955280598421,0.595041525854134,-0.03985400220570812
